id,salary
964,to be discussed
965,50-60 K
966,60000-70000
967,65000
968,40.000€ - 50.000€
969,21321
970,50.000-60.000 €
971,65000-75000
972,50.00 - 70.00
973,up to 80.000€
974,60000-110000
975,75k
976,negotiable
977,60k
978,€75.000 - €90.000
979,negotiable
980,50000 - 70000
981,>43.000€
982,85.000 EUR 
983,€68.000 - €73.000
984,75000-120000
985,45.000-55.000
986,75000-120000
987,"> €65,000"
988,"70,000k+"
989,45.000-55.000
990,55k - 65k
991,55.000 - 70.000
992,65.000€
993,45.000-50.000€
994,80000-85000
995,50000 - 100000
996,60.000 - 90.000 €
997,Negotiable 
998,Fair value principle
999,45.000 - 65.000€
1000,"70,000€"
1001,73.500€
1002,50.000€ - 55.000€
1003,"€60,000-€65,000"
1004,40000-50000
1005,55.000-65.000
1006,55000 - 65000
1007,€45.000 - €60.000
1008,55+
1009,45k - 80k
1010,"50,000€ - 60,000€"
1011,45.000 €
1012,"80,000 - 90,000 EUR"
1013,"60,000 - 70,000 €"
1014,.
1015,tba
1016,">72,000 EUR"
1017,"€45,000"
1018,45000-65000
1019,60k - 72K €
1020,75000-120000
1021,70.000-80.000
1022,50.000 € - 60.000 €
1023,65000
1024,k.A.
1025,"60,000€"
1026,72000
1027,60.000 - 75.000
1028,75K
1029,70.000-80.000
1030,70.000€
1031,5200-62000
1032,"€50,000 - €60,000"
1033,€80.000 - €90.000
1034,65.000 - 71.000€
1035,"63,000 € +"
1036,>€60.000
1037,45k - 80k
1038,60.000 - 70.000
1039,55000-65000
1040,55.000 EUR 
1041,55.000€
1042,75000-85000
1043,65000-75000
1044,70000
1045,60.000-75.000€
1046,65000
1047,65.000-75.000
1048,>45000
1049,60.000 - 70.000
1050,€ 60.000 - €65.000
1051,75000
1052,62.000
1053,€60k
1054,80000
1055,70.000 - 80.000
1056,50000
1057,"50,000€ - 65,000€"
1058,"50,000 - 75,000 €"
1059,60000 - 80000
1060,"60,000"
1061,"50,000€ - 70,000 €"
1062,25.000€ negotiable
1063,40k - 50k
1064,60-90.000
1065,50.000€-60.000€
1066,negotiable
1067,negotiable
1068,60.000 EUR 
1069,84.000
1070,90000
1071,70000
1072,70.000-80.000
1073,60000
1074,75000
1075,55.000€ - 60.000€
1076,"63,000"
1077,77000
1078,tbd
1079,50.000 - 70.000
1080,50.000 - 70.000
1081,"55,000€ - 85,000€"
1082,"70,000-72,000"
1083,63.000 - 73.000
1084,59000 - 70000€
1085,60000
1086,55.000 €
1087, €62K - €72K
1088,60000
1089,60000
1090,50000
1091,60000
1092,>60000
1093,tbd
1094,"50,000 - 60,000"
1095,50000- 60000
1096,60000
1097,"22,000 €"
1098,ab 65.000€
1099,70 000
1100,>80€
1101,"65,000-85,000"
1102,55000 - 65000
1103,80000-100000
1104,50000-60000
1105,55.000 - 60.000
1106,62000
1107,"€50,000"
1108,"€70,000 - €85,000"
1109,45.000-66.000
1110,60000-100000
1111,42000-45000
1112,80000 - 85000
1113,70000-80000
1114,65.000-90.000
1115,50.000-70.000
1116,"55,000-70,000€"
1117,75000-120000
1118,40.000-55.000
1119,60.000 € - 70.000 €
1120,tbd
1121,45.000€-50.000€
1122,70.000€ - 85.000€
1123,"50,000 € - 60,000 €"
1124,45.000-50.000
1125,tbd
1126,78.000-87.000
1127,42.000 - 52.000
1128,60-70K
1129,70.000
1130,40000
1131,55-80k
1132,65000
1133,60000 - 70000
1134,55000
1135,min 65.000 €/year
1136,€
1137,"> 80,000"
1138,80.000 - 90.000
1139,
1140,65.000-80.000
1141,50-60k
1142,45.000 negotiable
1143,43000
1144,70.000 - 90.000
1145,70.000-90.000
1146,65000
1147,€65.000 - €70.000
1148,€90.000 - €100.000
1149,50000
1150,50.000 - 70.000
1151,tbd
1152,"60,000-65,000"
1153,ca. 70.000
1154,"55,000€ - 65,000€"
1155,120000
1156,let's talk about it!
1157,75000-120000
1158,Competitive 
1159,55.000
1160,"48,000"
1161,70.000-100.000€
1162,€45.000-50.000
1163,to be discussed
1164,50000-60000
1165,75000-120000
1166,59-66k€ p.a.
1167,50.000.55.000
1168,"€70,000 - €80,000"
1169,40000-50000
1170,44000 - 57000
1171,85000
1172,60000-65000
1173,35k
1174,84.000€
1175,">55,000"
1176,55.000-80.000
1177,50000-60000
1178,"70,000-80,000"
1179,75000-120000
1180,ntb
1181,72.000€
1182,60.000-75.000
1183,55 000 - 85 000
1184,50000 - 70000
1185,65000-85000
1186,around 60k
1187,60-90.000
1188,70.000€+
1189,81-87k€
1190,70000
1191,75000-120000
1192,Negotiable
1193,"50,000-60,000"
1194,"65,000 - 75,000"
1195,"52,000"
1196,45 000 - 60 000
1197,75000-85000
1198,"70,000-85,000"
1199,50000
1200,50000 - 55 000 
1201,50-60.000 €
1202,tbd
1203,40.000-65.000 €
1204,55-65k
1205,55.000€-60.000€
1206,75000-120000
1207,65000
1208,50000
1209,65K
1210,60.000-75.000€
1211,>52000
1212,58000-63000
1213,60.000
1214,60000-75000
1215,€60.000
1216,70000-80000
1217,85.000 - 95.000
1218,43.000 - 53.000
1219,"45,000€ - 55,000€"
1220,"40,000€-70,000€"
1221,"45-50,000€"
1222,60000-65000
1223,up to 70.000
1224,75-85k
1225,66670-85000
1226,45000 - 50000
1227,up to 90k€
1228,"ca. 96,000 €"
1229,"€ 60.000 - 80.000,-"
1230,60000-65000
1231,"69,600€"
1232,50.000 - 65.000
1233,55.000 - 65.000 €
1234,45.000-50.000
1235,65000
1236,60000 to 75000
1237,tbd
1238,75000-120000
1239,"60,000-75,000"
1240,€40.000 - €55.000
1241,45.000-65.000€
1242,tbd
1243,60.000 - 70.000
1244,60000 - 70000 Euro
1245,75 - 80K
1246,"60,000 - 90,000"
1247,50.000-70.000
1248,50.000 - 62.000€
1249,65000-75000
1250,€70'000
1251,80000-90000
1252,"65,000-85,000"
1253,70-80
1254,"75,000 - 95,000"
1255,75000-120000
1256,open to discussions
1257,60.000-65.000
1258,50.000 - 70.000 EUR
1259,75000
1260,50.000 - 60.000 €
1261,75.000€
1262,"50,000-70,000"
1263,50.000 -60.000
1264,"60,000 - 70,000 EUR"
1265,50.000€ -54.000€
1266,45.000 - 48.000
1267,"70,000 - 80,000"
1268,"30,000 - 60,000 €"
1269,55000-70000
1270,to be discussed
1271,ca. 72.500€
1272,60-80k/y
1273,>65.000
1274,"56,000+"
1275,55.000
1276,35.000€ - 45.000€
1277,85.000
1278,55000
1279,45000-50000
1280,75.000€ - 85.000€
1281,55k
1282,75000-120000
1283,75.000 EUR 
1284,50.000 € - 65.000 €
1285,70.000
1286,55000
1287,50000-60000
1288,65-75
1289,45000
1290,40000-60000
1291,60000-70000
1292,"47,000"
1293,"40,000 - 50,000"
1294,55000-70000
1295,55.000 - 60.000
1296,55000 - 70000
1297,"€ 70.000 - 80.000,-"
1298,30.000-40.000
1299,74000
1300,75.000€
1301,>60.000
1302,Negotiable
1303,70.000-78.000
1304,">55,000€"
1305,"40,000 - 60,000 €"
1306,70-100k
1307,55000
1308,>87000
1309,"40,000€ - 55,000€"
1310,"50,000-60,000"
1311,60.000 €
1312,50000-70000
1313,"50,000€-70,000€"
1314,60000 - 65000
1315,€45k - 55k
1316,tbd
1317,70000 €- 90000 €
1318,"50,000€ - 70,000€"
1319,70000
1320,negotiable
1321,60 000 - 73 000
1322,€60k-€80k
1323,65.000 - 80.000
1324,"70,000 to 90,000€"
1325,75000-120000
1326,50500 - 75500
1327,45000
1328,65.000 - 72.000
1329,80000-100000
1330,65.000 - 75.000€
1331,50000-70000
1332,"75,000-80,000"
1333,70000-95000
1334,65.000 - 80.000
1335,€63.000
1336,80000
1337,€35.000 - €80.000
1338,55000-60000
1339,72000 EUR
1340,60.000-80.000 €
1341,Up to negotiation
1342,50-60.000€
1343,"50,000Eur"
1344,65.000 €
1345,65000€ - 85000€
1346,90000
1347,"> €65,000"
1348,65000
1349,39.000-45.500
1350,80000
1351,tbd
1352,45.000 - 55.000
1353,"50,000- 70,000"
1354,50.000
1355,90000
1356,"45,000€ - 55,000€"
1357,45.000 - 55.000
1358,55000
1359,55 000 - 75 000
1360,"50,000€ - 55,000€"
1361,60.000
1362,66000
1363,"30,000 - 60,000 €"
1364,70000 - 85000
1365,75000 - 85000€
1366,"70,000€"
1367,84.000€
1368,"50,000 - 53,000"
1369,"50,000 - 60,000 EUR"
1370,"55,000€ - 65,000€"
1371,"60,000"
1372,62000 - 65000 €
1373,verhandelbar
1374,55.000-64.000
1375,75-90k
1376,"60,000-75,000 EUR"
1377,60-73k
1378,+70.000
1379,60k - 90k
1380,>45000
1381,70000
1382,up to 90k
1383,55-70k
1384,50.000 - 70.000
1385,55.000
1386,55.000 € - 65.000 €
1387,52.000 - 57.000
1388,"55,000 € - 65,000 €"
1389,negotiable
1390,45k
1391,50.000 - 75.000
1392,>€44.000
1393,50.000-75.000
1394,70k
1395,70000-110000
1396,"75,000-80,000"
1397,35.000-45.000
1398,45.000 - 55.000
1399,EUR 60.000 - 80.000
1400,65.000€ - 80.000€
1401,€75.000 - €90.000
1402,"60,000€"
1403,>60.000 EUR
1404,"€60,000"
1405,competitive
1406,30.000 - 70.000€
1407,60.000
1408,45.000 - 50.000
1409,55000
1410,40 000 - 60 000
1411,60.000€
1412,55.000 - 60.000 €
1413,75K - 85K
1414,"65,000€ - 95,000€"
1415,42000-48000
1416,70000-95000
